accX,accy,accZ,gyroX,gyroY,gyroZ,flex1,flex2,flex3,mag,count,label
0.2258,0.0333,-0.0375,-0.058,0.0117,-0.0046,0.0002,0.0002,0.0,0.1542,4.0,3
0.1732,-0.0083,-0.0627,0.0053,0.0023,-0.0014,0.0003,0.0001,0.0,0.1229,4.0,3
0.1772,0.032,-0.0557,0.0176,0.0009,-0.0001,0.0002,0.0002,0.0,0.1257,4.0,3
0.1761,0.0209,-0.066,0.0064,-0.0127,-0.0021,0.0002,0.0001,0.0,0.1262,4.0,3
0.2028,0.0016,-0.0708,-0.0038,-0.0074,-0.0103,0.0001,0.0002,0.0,0.1432,4.0,3
0.184,-0.0198,-0.0607,0.0146,0.0043,-0.0112,0.0003,0.0002,0.0,0.1299,4.0,3
0.1809,-0.0016,-0.0685,0.0286,-0.0051,-0.0159,0.0001,0.0003,0.0,0.1289,4.0,3
0.19,0.0322,-0.0565,-0.0062,0.0073,-0.042,0.0,0.0003,0.0,0.1339,4.0,3
0.191,0.0347,-0.0413,0.0017,0.0033,-0.0321,0.0004,0.0001,0.0,0.1323,4.0,3
0.2219,0.0308,-0.007,0.0285,0.0132,-0.016,0.0,0.0003,0.0,0.1494,4.0,3
0.2443,0.0299,-0.0492,0.0441,0.1131,-0.0288,0.0004,0.0002,0.0,0.1674,4.0,3
0.1276,0.0738,-0.026,0.0587,0.1077,-0.019,0.0,0.0006,0.5467,0.0998,4.0,3
0.0531,0.0703,-0.0587,0.0246,0.1002,-0.0157,0.0004,0.0005,1.0,0.0706,4.0,3
0.0915,0.0714,-0.056,-0.0079,-0.015,0.0099,0.0001,0.0385,1.0,0.0859,4.0,3
0.2204,0.0059,-0.0903,-0.0204,0.0436,-0.0038,0.0004,0.1651,1.0,0.1589,4.0,3
0.0786,-0.0066,-0.0594,0.0012,-0.0112,-0.0125,0.0002,0.0693,1.0,0.0658,4.0,3
0.1032,0.0228,-0.0601,-0.01,-0.1089,-0.0165,0.0003,0.0006,0.9867,0.0811,4.0,3
0.1685,0.0231,-0.0826,-0.0437,-0.122,-0.0377,0.0001,0.0002,0.0,0.1261,4.0,3
0.1905,0.0161,-0.0646,-0.0738,-0.0796,-0.0615,0.0003,0.0002,0.0,0.1345,4.0,3
0.2328,0.0174,-0.0319,-0.0762,-0.068,-0.0441,0.0001,0.0002,0.0,0.157,4.0,3
0.1895,-0.0249,-0.0209,-0.066,0.0063,-0.0284,0.0003,0.0002,0.0,0.1282,4.0,3
0.1746,-0.0471,-0.0411,-0.0147,0.015,-0.028,0.0002,0.0002,0.0,0.1237,4.0,3
0.1546,0.0056,-0.0216,0.0057,-0.0016,-0.0278,0.0002,0.0002,0.0,0.1042,4.0,3
0.156,0.0107,-0.0309,-0.0175,-0.0233,-0.0256,0.0002,0.0002,0.0,0.1062,4.0,3
0.1771,-0.0183,-0.048,-0.0139,-0.0178,-0.0265,0.0002,0.0003,0.0,0.1229,4.0,3
0.1699,-0.0162,-0.0516,-0.0063,-0.0114,-0.0266,0.0003,0.0002,0.0,0.1189,4.0,3
0.171,-0.0077,-0.0414,-0.0002,-0.0142,-0.0228,0.0002,0.0003,0.0,0.1174,4.0,3
0.1732,-0.0108,-0.0456,0.0114,-0.0237,-0.0158,0.0003,0.0001,0.0,0.1196,4.0,3
0.1905,0.0161,-0.0646,-0.0738,-0.0796,-0.0615,0.0003,0.0002,0.0,0.1345,5.0,3
0.2328,0.0174,-0.0319,-0.0762,-0.068,-0.0441,0.0001,0.0002,0.0,0.157,5.0,3
0.1895,-0.0249,-0.0209,-0.066,0.0063,-0.0284,0.0003,0.0002,0.0,0.1282,5.0,3
0.1746,-0.0471,-0.0411,-0.0147,0.015,-0.028,0.0002,0.0002,0.0,0.1237,5.0,3
0.1546,0.0056,-0.0216,0.0057,-0.0016,-0.0278,0.0002,0.0002,0.0,0.1042,5.0,3
0.156,0.0107,-0.0309,-0.0175,-0.0233,-0.0256,0.0002,0.0002,0.0,0.1062,5.0,3
0.1771,-0.0183,-0.048,-0.0139,-0.0178,-0.0265,0.0002,0.0003,0.0,0.1229,5.0,3
0.1699,-0.0162,-0.0516,-0.0063,-0.0114,-0.0266,0.0003,0.0002,0.0,0.1189,5.0,3
0.171,-0.0077,-0.0414,-0.0002,-0.0142,-0.0228,0.0002,0.0003,0.0,0.1174,5.0,3
0.1732,-0.0108,-0.0456,0.0114,-0.0237,-0.0158,0.0003,0.0001,0.0,0.1196,5.0,3
0.1842,0.0027,-0.0515,0.0213,-0.0146,-0.0148,0.0004,0.0002,0.0,0.1275,5.0,3
0.1776,-0.0071,-0.0605,0.0198,-0.0057,-0.0143,0.0,0.0002,0.0,0.1252,5.0,3
0.2253,-0.0134,-0.0415,0.0308,0.0073,-0.0107,0.0004,0.0002,0.0,0.153,5.0,3
0.2943,-0.0392,-0.0608,0.0586,0.1297,-0.031,0.0,0.0005,0.5767,0.202,5.0,3
