gesture_id,timestep,label,name,ax,ay,az,gx,gy,gz,f1,f2,f3,mag,exp_logit_0,exp_logit_1,exp_logit_2,exp_logit_3,exp_logit_4,exp_logit_5,exp_logit_6,exp_logit_7,exp_logit_8
0,13,8,crane_wing,-0.2183,-0.1789,-0.2531,0.1923,-0.9969,0.0699,0.0,0.0008,0.0,0.3791,-13.883252,-212.013077,-160.35025,-213.203079,-51.833706,-102.934006,-144.366638,-16.676554,10.589299
0,14,8,crane_wing,-0.0755,-0.1421,-0.6769,0.325,-0.9969,0.0934,0.0,0.0008,0.0,0.6957,-13.883252,-212.013077,-160.35025,-213.203079,-51.833706,-102.934006,-144.366638,-16.676554,10.589299
0,15,8,crane_wing,0.192,-0.1494,-1.0,0.3697,-0.8896,0.1703,0.0,0.0007,0.0,1.0,-13.883252,-212.013077,-160.35025,-213.203079,-51.833706,-102.934006,-144.366638,-16.676554,10.589299
0,16,8,crane_wing,0.2148,-0.0592,-0.8839,0.142,-0.4449,0.0939,0.0,0.0009,0.0,0.9115,-13.883252,-212.013077,-160.35025,-213.203079,-51.833706,-102.934006,-144.366638,-16.676554,10.589299
0,17,8,crane_wing,0.1602,-0.0824,-0.6129,0.0264,-0.1745,0.0308,0.0,0.0007,0.0,0.6388,-13.883252,-212.013077,-160.35025,-213.203079,-51.833706,-102.934006,-144.366638,-16.676554,10.589299
0,18,8,crane_wing,0.2252,-0.0023,-0.3689,-0.0369,0.0487,0.0436,0.0,0.0009,0.0,0.4322,-13.883252,-212.013077,-160.35025,-213.203079,-51.833706,-102.934006,-144.366638,-16.676554,10.589299
0,19,8,crane_wing,0.1528,-0.0095,-0.1356,-0.0842,0.1858,0.0169,0.0,0.0007,0.0,0.2045,-13.883252,-212.013077,-160.35025,-213.203079,-51.833706,-102.934006,-144.366638,-16.676554,10.589299
1,0,8,crane_wing,0.0016,0.005,-0.007,-0.014,0.0065,0.0129,0.0,0.0008,0.0,0.0088,-19.158983,-197.668503,-132.752441,-190.068146,-49.364914,-105.980362,-128.867264,-18.456453,8.764596
1,1,8,crane_wing,-0.0043,-0.0003,0.0006,-0.018,0.0067,0.0135,0.0,0.0007,0.0,0.0044,-19.158983,-197.668503,-132.752441,-190.068146,-49.364914,-105.980362,-128.867264,-18.456453,8.764596
1,2,8,crane_wing,0.0013,0.006,0.0004,-0.0249,0.0065,0.0147,0.0,0.001,0.0,0.0062,-19.158983,-197.668503,-132.752441,-190.068146,-49.364914,-105.980362,-128.867264,-18.456453,8.764596
1,3,8,crane_wing,0.0014,-0.007,0.0031,-0.0185,0.0077,0.016,0.0,0.0007,0.0,0.0078,-19.158983,-197.668503,-132.752441,-190.068146,-49.364914,-105.980362,-128.867264,-18.456453,8.764596
1,4,8,crane_wing,-0.0006,0.0007,-0.0019,-0.0152,0.0137,0.0168,0.0,0.0009,0.0,0.0022,-19.158983,-197.668503,-132.752441,-190.068146,-49.364914,-105.980362,-128.867264,-18.456453,8.764596
